Company Name,Phone,Street Address,City,State,Google Rating,Google Review Count,Has Website,Source,Lead Status,Notes
A-1 Guarantee Roofing,417-863-0613,5398 W Chestnut Expy,Springfield,MO,4.7,276,Yes,Google Maps (Tier 1 city search),New,
"Garrison Roofing & Guttering, LLC",417-631-4700,2321 E Olive Ct Unit A,Springfield,MO,4.9,178,Yes,Google Maps (Tier 1 city search),New,
Roofing Company Springfield,417-363-2588,1749 S Campbell Ave,Springfield,MO,4.8,26,Yes,Google Maps (Tier 1 city search),New,
Midwest Roofing (Springfield),417-744-5670,4440 W Helen St,Springfield,MO,4.8,627,Yes,Google Maps (Tier 1 city search),New,
Swifts Roofing,417-771-0477,4268 S Hillcrest Ave Ste 110,Springfield,MO,5.0,266,Yes,Google Maps (Tier 1 city search),New,
Apple Roofing,855-855-8742,1601 W Sunshine St,Springfield,MO,4.5,53,Yes,Google Maps (Tier 1 city search),New,
Titan Roofing,417-607-6914,2520 E Jean St,Springfield,MO,4.8,438,Yes,Google Maps (Tier 1 city search),New,
ABC Roofing,417-224-5504,2131 W Republic St #131,Springfield,MO,4.8,75,Yes,Google Maps (Tier 1 city search),New,
Branson Springfield Roof Co,417-607-6637,1309 E Montclair St,Springfield,MO,4.8,42,Yes,Google Maps (Tier 1 city search),New,
Over The Top Roofing & Restoration,417-988-9800,1354 E Kingsley St Ste. C,Springfield,MO,4.7,102,Yes,Google Maps (Tier 1 city search),New,
"Redeemed Roofing Systems, LLC",417-773-3952,227 E Sunshine St Ste 229,Springfield,MO,4.9,61,Yes,Google Maps (Tier 1 city search),New,
Grade A Roofing & Exteriors,417-844-4404,3115 S Pickwick Pl,Springfield,MO,5.0,186,Yes,Google Maps (Tier 1 city search),New,
"Roof One, LLC",,6797 W Independence Dr,Springfield,MO,4.6,88,Yes,Google Maps (Tier 1 city search),New,
GlennStone Roofing & Gutters,417-860-8125,2131 W Republic Rd #345,Springfield,MO,4.5,151,Yes,Google Maps (Tier 1 city search),New,
Recon Roofing & Construction,515-375-5437,455 SW 5th St C,Des Moines,IA,4.9,573,Yes,Google Maps (Tier 1 city search),New,
Andrew's Roofing Company,515-664-7968,1544 2nd Ave,Des Moines,IA,4.9,170,Yes,Google Maps (Tier 1 city search),New,
Walter Roofing - Des Moines,515-343-6955,8450 Hickman Rd,Des Moines,IA,5.0,449,Yes,Google Maps (Tier 1 city search),New,
"Heartland Roofing, Siding, and Solar",515-523-7584,2519 NW 66th Ave,Des Moines,IA,4.8,695,Yes,Google Maps (Tier 1 city search),New,
Hedberg & Son,515-265-0616,3407 Delaware Ave,Des Moines,IA,4.8,68,Yes,Google Maps (Tier 1 city search),New,
Shamrock Roofing and Construction (DSM),515-735-3310,7509 Douglas Ave Ste 19,Des Moines,IA,4.9,153,Yes,Google Maps (Tier 1 city search),New,
For Sure Roofing,515-367-7873,6545 NE 14th St,Des Moines,IA,4.9,124,Yes,Google Maps (Tier 1 city search),New,
Ultimate Exteriors,515-419-7459,3839 Merle Hay Rd Ste 260,Des Moines,IA,4.9,137,Yes,Google Maps (Tier 1 city search),New,
Des Moines Area Roofing Siding + Solar,515-360-7480,20000 Wendover Pl,Des Moines,IA,4.8,148,Yes,Google Maps (Tier 1 city search),New,
BIG Roofing,515-355-8969,5751 NE 22nd St Ste 304,Des Moines,IA,4.9,141,Yes,Google Maps (Tier 1 city search),New,
Iowa Roofing Company,515-243-1255,2425 Hubbell Ave Unit 104,Des Moines,IA,4.5,15,Yes,Google Maps (Tier 1 city search),New,
Waddle Exteriors & Roofing,515-575-2378,1501 42nd St Ste 420,Des Moines,IA,4.9,582,Yes,Google Maps (Tier 1 city search),New,
Mighty Dog Roofing of Greater Des Moines,515-454-2839,815 Office Park Rd Ste 1,Des Moines,IA,5.0,132,Yes,Google Maps (Tier 1 city search),New,
Delgado's Roofing,515-770-4615,10040 County Line Rd,Des Moines,IA,5.0,131,Yes,Google Maps (Tier 1 city search),New,
"Advanced Roofing & Exteriors, LLC",515-890-0029,6915 Vista Dr,Des Moines,IA,5.0,152,Yes,Google Maps (Tier 1 city search),New,
Peterson Roofing and Home Improvement,563-386-8613,15 Quinn Court,Davenport,IA,4.8,62,Yes,Google Maps (Tier 1 city search),New,
Roof Drs,563-888-8967,1313 N Harrison St,Davenport,IA,4.9,639,Yes,Google Maps (Tier 1 city search),New,
Burrage Roofing- Quad Cities,563-549-9544,100 E Kimberly Rd Ste 702,Davenport,IA,4.8,295,Yes,Google Maps (Tier 1 city search),New,
Hugaert Roofing,563-210-4351,,Davenport,IA,5.0,215,Yes,Google Maps (Tier 1 city search),New,
Jansen Roofing & Repair Inc,563-355-4355,21220 N Brady St,Davenport,IA,4.9,144,Yes,Google Maps (Tier 1 city search),New,
A+ Roofing and Siding Co.,563-349-4420,710 14th St,Davenport,IA,4.9,657,Yes,Google Maps (Tier 1 city search),New,
R3 Roofing & Exteriors,563-888-1017,112 W 3rd St,Davenport,IA,4.7,257,Yes,Google Maps (Tier 1 city search),New,
"Centennial Home Improvement, LLC",563-888-5501,709 E 46th St,Davenport,IA,4.9,294,Yes,Google Maps (Tier 1 city search),New,
AmeriPro Roofing,563-214-0280,5233 Grand Ave Unit c,Davenport,IA,4.7,296,Yes,Google Maps (Tier 1 city search),New,
Falcon GC - QC / DFW / OKS,563-210-5006,1430 N Perry St,Davenport,IA,4.8,71,Yes,Google Maps (Tier 1 city search),New,
Sieren Roofing Services,563-549-0279,4916 N Pine St,Davenport,IA,5.0,202,Yes,Google Maps (Tier 1 city search),New,
Davenport Roofing Pros,563-219-9091,628 N Ripley St,Davenport,IA,4.8,47,No,Google Maps (Tier 1 city search),New,
Rolando Palma Company,563-940-1339,,Davenport,IA,5.0,30,Yes,Google Maps (Tier 1 city search),New,
Foley Contracting LLC,563-570-6905,6730 Double Eagle Dr,Davenport,IA,4.6,164,Yes,Google Maps (Tier 1 city search),New,
Veteran's Choice Contracting,563-424-1005,2324 Hickory Grove Rd,Davenport,IA,4.8,136,Yes,Google Maps (Tier 1 city search),New,
