title,phone,website,category,address,review_rating,review_count,owner_email,notes
The Roofing Company,+1 813-556-7773,https://www.tampabayroofs.com/,Roofing contractor,"6710 Benjamin Rd Ste 100A, Tampa, FL 33634, United States",4.400000,7,,
Yehovah International,+1 813-530-5493,https://www.yehovahbuilders.com/,General contractor,"401 E Jackson St Ste 3301, Tampa, FL 33602, United States",4.000000,7,,
Radiant Roofing LLC,+1 689-304-0616,https://radiant-roofing.net/,Roofing contractor,"400 N Tampa St Suite 1550 #330451, Tampa, FL 33602, United States",5.000000,8,,
Venus Renovation Tampa,+1 571-316-0344,https://www.venusrenovation.com/,General contractor,"2404 Corrine St, Tampa, FL 33605, United States",5.000000,8,,
Bravo Roofing & Gutters,+1 813-923-3306,,Roofing contractor,"1507 W Cypress St, Tampa, FL 33606, United States",5.000000,8,,
Ricks Roof Cleaning,+1 813-210-8269,,Pressure washing service,,4.900000,8,,
"Ricky Johnson Roofing, Inc.",+1 813-248-5103,,Roofing contractor,"3505 N 10th St, Tampa, FL 33605, United States",4.400000,8,,
The Alpha Elite Team,+1 727-271-8478,https://thealphaeliteteam.com/,Real estate consultant,"603 W Horatio St, Tampa, FL 33606, United States",4.500000,8,,
Hard Knock Roofing & Construction,+1 813-712-8763,https://hardknockroofing.com/,Roofing contractor,"400 N Ashley Dr Ste 1900, Tampa, FL 33602, United States",5.000000,9,,
Southern Roofing and Renovations,+1 901-871-3262,http://weroofflorida.com/tampa,Roofing contractor,,4.600000,9,,
Omega Roofer LLC,+1 813-629-3868,http://omegaroofer.com/,Contractor,"1704 W Erna Dr, Tampa, FL 33603, United States",5.000000,10,,
Yowell's Roofing,+1 813-949-4561,https://www.yowellsroofing.com/contact-us,Roofing contractor,"6710 Benjamin Rd, Tampa, FL 33634, United States",4.600000,10,,
911 Roofing,+1 656-219-0155,,Roofing contractor,"2375 S Tamiami Trl, Tampa, FL 33619, United States",5.000000,11,,
Splash Water Tampa,+1 813-710-6609,https://bigguavawaterdamagerestoration.com/,Water damage restoration service,"2305 W Morrison Ave, Tampa, FL 33629, United States",5.000000,11,,
Bayfair Custom Homes,+1 813-875-3800,https://www.bayfair.com/,Custom home builder,"1318 W Swann Ave, Tampa, FL 33606, United States",4.600000,11,,
CP DANNER CONSTRUCTION,+1 813-624-8540,,Roofing contractor,"2713 N 33rd St, Tampa, FL 33605, United States",3.200000,11,,
Tampa Roofing Repair,+1 239-456-0404,,Roofing contractor,"1602 River Dr, Tampa, FL 33603, United States",4.800000,12,,
Veve Service Construction And More LLc,+1 786-538-4580,https://veveconstruction.us/,Construction company,,5.000000,12,,
Superior Roofing Services,+1 813-839-5544,http://www.superiorroofingservices.com/,Roofing contractor,"4404 W Paxton Ave, Tampa, FL 33611, United States",5.000000,12,,
"All Area Roofing & Waterproofing, Inc.",+1 813-247-7663,http://allarearoofing.com/,Roofing contractor,"1820 N 57th St, Tampa, FL 33619, United States",3.800000,12,,
Tecta America West Florida Commercial Roofing,+1 813-621-1700,https://www.tectaamerica.com/location/west-florida-tampa/,Roofing contractor,"5429 N 56th St, Tampa, FL 33610, United States",4.600000,12,,
Mangrove Property Insurance,+1 877-700-3727,https://mangrove-fl.com/,Insurance company,"400 N Tampa St, Tampa, FL 33602, United States",1.900000,13,,
Roof Fixie,+1 813-565-2479,https://roof-fixie.ueniweb.com/?utm_campaign=gmb,Roofing contractor,"223 N 12th St, Tampa, FL 33602, United States",4.400000,14,,
Taurus Builders Inc.,+1 813-504-0898,https://www.taurus.builders/,Construction company,"400 N Tampa St, Tampa, FL 33602, United States",4.600000,14,,
4PT Punchlist Tampa,+1 727-476-9073,https://4ptpunchlist.com/real-estate-inspection-repairs-tampa/,Contractor,"1718 E 7th Ave Ste 201b, Tampa, FL 33605, United States",5.000000,14,,
His and Hers Roofing,+1 813-377-3730,https://www.hisandhersroof.com/,Roofing contractor,,4.100000,14,,
Roofing Repair Solutions,+1 786-652-1584,https://fast-roofing-repair-solutions.ueniweb.com/?utm_campaign=gmb,Roofing contractor,,4.900000,16,,
Property Leak Repair Roofing,+1 407-250-1857,https://property-leak-repair-roofing.ueniweb.com/?utm_campaign=gmb,Roofing contractor,,4.900000,16,,
Sunnyside Roof Rejuvenate,+1 727-295-3952,https://www.sunnysideway.com/?utm_source=GoogleBusinessProfile&utm_medium=organic,Roofing contractor,,4.800000,16,,
Colony Roofers,+1 813-579-2468,https://colonyroofers.com/,Roofing contractor,"11685 W Hillsborough Ave, Tampa, FL 33635, United States",4.800000,16,,
Chyle's Roofing,+1 813-972-2959,http://www.chylesroofingtampa.com/,Roofing contractor,"7207 N Blossom Ave, Tampa, FL 33614, United States",4.800000,17,,
Prime Adjustments,+1 877-729-6365,https://primeadjustments.com/,Loss adjuster,"610 E Zack St Ste 110-2202, Tampa, FL 33602, United States",5.000000,18,,
Red Beards Roofing,+1 813-453-4031,,Roofing contractor,,4.400000,18,,
North American Roofing,+1 813-437-1508,https://naroofing.com/,Roofing contractor,"6601 E Adamo Dr, Tampa, FL 33619, United States",4.100000,18,,
Roofing Solutions Plus - Tampa,+1 813-373-4505,https://roofingsolutionsplusflorida.com/,Roofing contractor,,5.000000,19,,
Simon Roofing,+1 866-641-7663,https://www.simonroofing.com/locations/tampa-commercial-roofing/,Roofing contractor,"4201 E Columbus Dr, Tampa, FL 33605, United States",3.600000,19,,
Krestop Roof,+1 407-887-1027,https://krestop.com/,Roofing contractor,,5.000000,20,,
Tampa Roof Cleaning,+1 813-347-9120,http://tamparoofcleaning.net/,Roofing contractor,,5.000000,20,,
Priority Roofing,+1 689-305-4104,https://priorityroofs.com/location/tampa/,Roofing contractor,"410 Ware Blvd Ste 814, Tampa, FL 33619, United States",5.000000,20,,
No Limit Public Adjusters,+1 813-921-5153,https://nlpublicadjusters.com/service-areas/public-adjusters-in-tampa-fl/,Loss adjuster,"401 E Jackson St Ste 2340, Tampa, FL 33602, United States",5.000000,20,,
SAINT PAULS ROOFING & CONSTRUCTION LLC,+1 656-900-1400,https://saintpaulsconstruction.com/,General contractor,"1601 N Marion St, Tampa, FL 33602, United States",5.000000,21,,
Roofing Done Wright,+1 813-358-7655,https://www.roofingdonewright.com/,Roofing contractor,"4830 W Kennedy Blvd Ste 600, Tampa, FL 33609, United States",5.000000,21,,
Hunter & Sons Roofing,+1 813-320-4600,,Roofing contractor,"506 E Baker St, Tampa, FL 33603, United States",4.900000,22,,
Aderhold Roofing,+1 813-945-4306,http://www.aderholdroofing.com/?utm_campaign=gmb,Roofing contractor,"4440 Eagle Falls Pl, Tampa, FL 33619, United States",4.700000,22,,
PGM Construction,+1 813-553-0403,https://pgm-contractor.com/,Construction company,,4.800000,23,,
SERVPRO of North Tampa/Magdalene,+1 813-937-1284,https://www.servpro.com/locations/fl/servpro-of-north-tampa-magdalene?utm_medium=organic&utm_source=gbp,Water damage restoration service,,4.800000,24,,
"A Squared Roofing, Inc.",+1 813-559-1252,https://asquaredroofing.com/,Roofing contractor,"4313 W South Ave, Tampa, FL 33614, United States",4.700000,24,,
"RoofSmith of Tampa Bay, Inc.",+1 813-419-0502,http://www.myroofsmith.com/,Roofing contractor,"5013 Tampa W Blvd, Tampa, FL 33634, United States",4.800000,24,,
Blue Peak Roofing,+1 813-572-7663,https://bluepeakroofers.com/,Roofing contractor,"5815 S MacDill Ave, Tampa, FL 33611, United States",5.000000,25,,
WeatherGuard Roofing,+1 813-921-8310,,Roofing contractor,"5128 Le Tourneau Cir, Tampa, FL 33610, United States",4.800000,25,,
RIG Roofing - Tampa,+1 863-294-4477,https://rigroofing.com/tampa,Roofing contractor,"1503 US-301 Ste 1, Tampa, FL 33619, United States",4.900000,26,,
Century Roofing Specialists,+1 407-393-8888,https://www.centuryroofingspecialists.com/?utm_source=google&utm_medium=gbp&utm_campaign=tampa,Roofing contractor,"7610 Industrial Ln #2B, Tampa, FL 33637, United States",4.700000,26,,
Imperial Roofing Contractor Inc,+1 813-996-2773,http://www.imperialroofing.us/,Roofing contractor,,4.700000,31,,
Rabbit Roofing,+1 813-699-7663,https://www.rabbit-roofing.com/,Roofing contractor,"3907 W Dr Martin Luther King Jr Blvd, Tampa, FL 33614, United States",4.700000,31,,
"Homeowners Choice Construction, LLC",+1 877-652-3555,,Construction company,"9260 Bay Plaza Blvd, Tampa, FL 33619, United States",4.300000,31,,
Goodfriend Roofing,+1 813-394-8783,https://goodfriendroofing.net/,Roofing contractor,"1305 N Armenia Ave, Tampa, FL 33607, United States",4.800000,33,,
Total Care Installs,+1 727-365-0945,https://tcisolarhome.com/,Solar energy equipment supplier,"610 E Zack St, Tampa, FL 33602, United States",5.000000,33,,
Reserve Advisors,+1 800-980-9881,http://www.reserveadvisors.com/,Engineering consultant,"201 E Kennedy Blvd #1150, Tampa, FL 33602, United States",4.900000,33,,
"Bay To Bay Roofing, Inc.",+1 813-424-1541,https://baytobayroofing.com/hillsborough-county/lutz/?utm_source=google&utm_medium=gbp&utm_campaign=local-listing-lutz,Roofing contractor,"307 Pine Bluff Dr Suite 101, Lutz, FL 33549, United States",4.800000,34,,
TomCo Solutions Inc,+1 813-922-2299,https://tomcosolutions.com/,Home builder,"412 E Madison St #1209, Tampa, FL 33602, United States",5.000000,34,,
Strong Roofing Group LLC,+1 813-981-9850,https://strongroofingsrq.com/roofing-tampa/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-links,Roofing contractor,"3019 W Azeele St, Tampa, FL 33609, United States",5.000000,37,,
Model City Roofing,+1 813-538-0008,https://www.modelcityroofing.com/?utm_source=google&utm_medium=gbp&utm_campaign=gbp_tampa,Roofing contractor,"501 S Falkenburg Rd Unit D14, Tampa, FL 33619, United States",4.900000,37,,
"Bayshore Exteriors, LLC",+1 813-694-4741,https://bayshoreexteriors.com/,Siding contractor,"301 W Platt St A311, Tampa, FL 33606, United States",4.800000,38,,
Heaven Sent Construction,+1 813-728-1458,http://www.hsc-fl.com/,Construction company,"4016 Henderson Blvd, Tampa, FL 33629, United States",5.000000,40,,
RAMCON Roofing,+1 813-663-9667,http://www.ramconroofing.com/,Roofing contractor,"5902 Breckenridge Pkwy, Tampa, FL 33610, United States",3.400000,41,,
All Claims Solutions: Tampa,+1 813-368-5382,https://tampa.allclaimssolutions.com/,Loss adjuster,"201 E Kennedy Blvd Suite 1240, Tampa, FL 33602, United States",5.000000,43,,
"Tampa Roof Repair, Inc.",+1 813-802-0112,https://roofdocinc.com/,Roofing contractor,"5700 Memorial Hwy Ste 122, Tampa, FL 33615, United States",4.600000,44,,
Global Pro Roofing LLC,+1 656-227-0885,https://globalproroofingllc.com/,Roofing contractor,"9041 Westchester Cir, Tampa, FL 33604, United States",4.700000,44,,
Bayshore Painters,+1 813-850-0575,http://www.bayshorepainters.com/,Painter,"1646 W Snow Ave Ste 135, Tampa, FL 33606, United States",4.900000,44,,
EXPERT General Contractors Tampa Bay,+1 813-921-2664,https://www.generalcontractorstampabay.site/,General contractor,"601 S Harbour Island Blvd Ste 113, Tampa, FL 33602, United States",5.000000,45,,
Afer Roofing Supply LLC,+1 941-441-8376,https://aferroofing.com/,Roofing contractor,,5.000000,46,,
M6 Building Solutions,+1 844-662-8458,https://www.m6building.com/,Roofing contractor,"401 E Jackson St Ste 3300, Tampa, FL 33602, United States",4.900000,47,,
Vibrant Roof & Solar LLC DBA Vibrant Roofing & Metal Fabrication,+1 813-894-5593,http://www.thevibrantroof.com/,Roofing contractor,"5609 E Adamo Dr D, Tampa, FL 33619, United States",5.000000,47,,
HD Roofing and Solar,+1 813-321-4751,https://hdroofers.com/,Roofing contractor,"6016 E Columbus Dr, Tampa, FL 33619, United States",4.400000,48,,
Florida Shelter Roofing LLC,+1 813-738-3884,http://www.floridashelterroofing.com/,Roofing contractor,"333 N Falkenburg Rd Unit B-228, Tampa, FL 33619, United States",4.800000,48,,
Mitchell Roofing Company LLC,+1 727-288-4650,http://www.mitchellroofingcompanyllc.com/,Roofing contractor,"10150 Highland Manor Dr Ste 200-007, Tampa, FL 33610, United States",5.000000,51,,
ConstructoMax Roofing Contractors,+1 813-520-8957,https://www.constructomax.com/,Roofing contractor,"2614 W Kennedy Blvd, Tampa, FL 33609, United States",4.600000,52,,
Alvarez Roofing,+1 813-986-4527,https://alvarezroofingtampa.com/,Roofing contractor,"10825 Tom Folsom Rd, Thonotosassa, FL 33592, United States",4.700000,52,,
Advanced Roofing Inc.,+1 813-885-5811,https://www.advancedroofing.com/,Roofing contractor,"4909 W Knollwood St, Tampa, FL 33634, United States",4.700000,56,,
Turnkey Roofing of Florida - Tampa,+1 813-512-8197,http://chooseturnkeytampa.com/,Roofing contractor,"8417 Sunstate St, Tampa, FL 33634, United States",4.200000,57,,
Tampa Bay Roofing Services,+1 813-680-4870,https://tampabayroofing.com/location/brandon/,Roofing contractor,"329 Pauls Dr Suite 107, Brandon, FL 33511, United States",4.900000,58,,
Red Fox Roofers of Tampa,+1 813-320-7657,https://redfoxroofers.com/,Roofing contractor,"625 E Twiggs St 1000 a1, Tampa, FL 33602, United States",5.000000,62,,
JR One Aluminum LLC - Gutter Repair & Installation,+1 844-444-3114,https://www.jronegutters.com/,Gutter service,"3420 W Cherry St, Tampa, FL 33607, United States",5.000000,62,,
"American Roofing & Sheet Metal, Inc.",+1 813-884-1815,https://arsmi.com/,Roofing contractor,"5425 W Crenshaw St, Tampa, FL 33634, United States",4.700000,62,,
HP Storm Restoration,+1 904-862-8408,https://hpstormrestoration.com/locations/tampa-residential-roofing/,Roofing contractor,"2710 W Virginia Ave, Tampa, FL 33607, United States",4.700000,63,,
Wonder Roofing & Renovations,+1 727-275-0166,http://wonderroofing.com/,Roofing contractor,"3104 N Armenia Ave, Tampa, FL 33607, United States",4.200000,65,,
Coastal Roofing Group,+1 813-497-4428,https://www.coastalroofinggrp.com/,Roofing contractor,"6720 E Fowler Ave Ste 156, Temple Terrace, FL 33617, United States",5.000000,65,,
Steadfast Roofing,+1 813-726-4590,https://steadfastroofingfl.com/roofing/tampa/,Roofing contractor,"3104 N Armenia Ave Ste 2, Tampa, FL 33607, United States",4.900000,66,,
OD Jones Roofing,+1 813-585-9238,https://odjonesroofing.com/,Roofing contractor,"8270 Woodland Center Blvd Ste 531, Tampa, FL 33614, United States",4.900000,66,,
The Tampa Roofer LLC,+1 656-261-4108,https://thetamparoofer.com/,Roofing contractor,"15311 Winding Creek Dr, Tampa, FL 33613, United States",5.000000,69,,
J&M Roofing,+1 813-981-7427,https://www.jandmroofing.com/service-area/brandon-roofing-contractor/,Roofing contractor,"915 Oakfield Dr D, Brandon, FL 33511, United States",4.900000,70,,
"Elite Roofing Services, Inc.",+1 813-630-0800,http://www.eliteroofingservices.com/,Roofing contractor,"7710 E Broadway Ave, Tampa, FL 33619, United States",4.700000,71,,
SYL ROOFING SUPPLY,+1 813-595-4292,https://sylroofingsupply.com/,Roofing supply store,"2005 N 43rd St, Tampa, FL 33605, United States",4.600000,72,,
RoofClaim.com,+1 813-867-7898,https://roofclaim.com/in/florida/tampa-fl/?utm_source=gmb&utm_medium=gmb&utm_campaign=tampa,Roofing contractor,"201 E Kennedy Blvd Ste 800, Tampa, FL 33602, United States",4.800000,74,,
Jack O' Trades,+1 813-679-5657,https://jackotrades.biz/,Handyman/Handywoman/Handyperson,,4.900000,75,,
Trident Roofing & Exteriors,+1 813-600-5200,https://tridentroofingfl.com/,Roofing contractor,"5115 Memorial Hwy, Tampa, FL 33634, United States",4.900000,75,,
Gold Roofs | Tampa Residential & Commercial Roofing Company,+1 813-600-5308,https://goldroofs.com/,Roofing contractor,"2110 W Main St, Tampa, FL 33607, United States",4.900000,76,,
Sidd Roofing Inc,+1 813-837-0000,http://www.siddroofing.com/,Roofing contractor,"4306 E Broadway Ave, Tampa, FL 33605, United States",5.000000,77,,
"Advantage Roofing and Construction, LLC",+1 813-399-1231,https://advantageroofs.com/,Roofing contractor,"1214 W Bearss Ave Ste 500, Tampa, FL 33613, United States",4.900000,77,,
Avatar Roofing,+1 813-962-7663,https://avatarroofing.com/,Roofing contractor,"4407 N Thatcher Ave, Tampa, FL 33614, United States",4.700000,78,,
Gulfeagle Supply,+1 813-636-9808,https://www.gulfeaglesupply.com/,Building materials supplier,"2900 E 7th Ave #100, Tampa, FL 33605, United States",4.100000,78,,
Fast Track Roofing,+1 813-606-5256,https://www.fasttrackroofingfl.com/,Roofing contractor,"6619 S 78th St #121, Riverview, FL 33578, United States",5.000000,84,,
Mike Mudd Management,+1 813-214-5053,https://www.mikemuddm.com/,Contractor,"2502 N Howard Ave #209, Tampa, FL 33607, United States",5.000000,86,,
Evans Roofing of Tampa Bay,+1 813-353-0845,https://www.evansroof.com/contact-tampa-fl,Roofing contractor,"5518 N Armenia Ave, Tampa, FL 33603, United States",4.800000,89,,
"Quality Roofing, Inc.",+1 813-620-4797,http://quality-roofing.com/,Roofing contractor,"1905 N 40th St, Tampa, FL 33605, United States",4.200000,89,,
SERVPRO of Greater Carrollwood/Citrus Park,+1 813-945-3498,https://www.servpro.com/locations/fl/servpro-of-greater-carrollwood-citrus-park?utm_medium=organic&utm_source=gbp,Water damage restoration service,,5.000000,90,,
JA Edwards of America Roofing - Tampa,+1 727-953-3181,https://jaeofamerica.com/,Roofing contractor,"9270 Bay Plaza Blvd #612, Tampa, FL 33619, United States",4.900000,90,,
"CM Contracting, Inc",+1 813-362-9702,https://www.cmcincfl.com/,Roofing contractor,"5610 Interbay Blvd Unit F, Tampa, FL 33611, United States",4.700000,90,,
Perez Roofing,+1 813-935-0107,http://perezroofingllc.com/,Roofing contractor,"1709 W Country Club Dr, Tampa, FL 33612, United States",4.600000,91,,
Terrasun Roofing,+1 813-562-4110,https://terrasunsolutionsllc.com/?utm_source=google&utm_medium=organic&utm_campaign=google_business_profile,Roofing contractor,"5604 N Hesperides St, Tampa, FL 33614, United States",5.000000,91,,
Fix Roofing LLC,+1 833-944-7446,https://www.fixroofingllc.com/,Roofing contractor,"4818 N Grady Ave, Tampa, FL 33614, United States",5.000000,92,,
Armor All Roofing,+1 813-416-7362,http://armorallroofing.com/,Roofing contractor,"10810 Boyette Rd #1946, Riverview, FL 33568, United States",4.800000,92,,
Onsite Construction & Restoration,+1 813-394-8783,https://onsiteconstructionllc.com/,Construction company,"1305 N Armenia Ave, Tampa, FL 33607, United States",4.700000,96,,
Universal Roof & Contracting Tampa,+1 813-295-7872,http://www.universalroof.com/,Roofing contractor,"5112 E Adamo Dr, Tampa, FL 33619, United States",4.900000,100,,
