Company Name,Phone,Website,Street Address,City,State,Employee Range,Revenue Range,Google Rating,Google Review Count,Source,Lead Status,Notes
Tulsa Emergency Roofing LLC,,tulsa-emergency-roofing-llc.business.site,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Allstate Roofing,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Lopez Brothers House Repair Co,,lopez-brothers-house-repair-co.business.site,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Great Plains Metals,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Burton Family Roofing & Remodeling,,burton-family-roofing-remodeling.business.site,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
CoppersmithKane,,,,,NE,1-10,1M-5M,,,Vibe Prospecting,New,
FDM ROOFING AND CONSTRUCTION LLC,,fdmroofing.com,,,KS,1-10,1M-5M,,,Vibe Prospecting,New,
918 Restoration,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Victor & Sons Roofing & Construction Company,,victor-sons-roofing-construction-company.business.site,,,NE,1-10,1M-5M,,,Vibe Prospecting,New,
Hand Nail Roofing,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
FX Remodeling & Exterior,,vinylsidingoklahomacity.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
U Roofing,,,,,KS,1-10,1M-5M,,,Vibe Prospecting,New,
Region Roofing,,,,,NE,1-10,1M-5M,,,Vibe Prospecting,New,
Top Roofing,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Green Country Construction and Management LLC,,greencountryconstructions.com/contact,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Roofing America Inc,,raconstructiongroup.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Eagle Roofing & Construction,,eagleroofingtulsa.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
All Service Insurance Restoration,,firewaterhelp.com,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Franco Roofing,,franco-roofing.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
"Quality Homes and Construction, Inc",,qualityhnc.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
"ABC Roofing & Remodeling, LLC",,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
sproofingcontractor.com,,sproofingcontractor.com,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Aldrich Construction,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Terrell Siding Windows & Roofing Inc.,,terrellwindows.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Quality Exteriors,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Roof Techs of Missouri,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Spangler & Reimers Roofing,,,,,KS,1-10,1M-5M,,,Vibe Prospecting,New,
"Cantrell & Company, LLC. Roofing & Construction",,cantrellroofing.net,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Trig-Tech,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
ASAP Roofing & Siding,,,,,IA,1-10,1M-5M,,,Vibe Prospecting,New,
Gerald's Roofing Siding Windows,,,,,IL,1-10,1M-5M,,,Vibe Prospecting,New,
Waller Brothers Roofing & Construction,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Roof Replacement,,,,,KS,1-10,1M-5M,,,Vibe Prospecting,New,
Edwin & Sons Roofing & Remodeling,,edwin-sons-roofing-remodeling.business.site,,,NE,1-10,1M-5M,,,Vibe Prospecting,New,
"LoveOurRoof, an Xcel Company",,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
Tulsa Roofing Etc,,tulsaroofingetc.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Complete Construction by Cragg,,,,,MO,1-10,1M-5M,,,Vibe Prospecting,New,
M.Treat Roofing,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Savage Family Roofing Company,,savage-family-roofing-company.business.site,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Plumbline Roofing & Construction,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Brooks Roofing Redecking Spec,,,,,KS,1-10,1M-5M,,,Vibe Prospecting,New,
Oklahoma Roofing,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Universal Construction,,,,,IA,1-10,1M-5M,,,Vibe Prospecting,New,
Gardner Gibson,,,,,IA,1-10,1M-5M,,,Vibe Prospecting,New,
Agan Roofing & Repairs,,,,,IA,1-10,1M-5M,,,Vibe Prospecting,New,
Gilstrap Home Improvements,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Supercell Development,,supercelldevelopment.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Sanders Brothers Construction,,,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Denner Roofing Co LLC,,dennerroofing.com,,,OK,1-10,1M-5M,,,Vibe Prospecting,New,
Sieren Roofing Services LLC,,sierenroofing.com,,,IA,1-10,1M-5M,,,Vibe Prospecting,New,
